epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,82.6264,0.79511,0.93351,1.33234,0.914,0.87843,0.95775,0.71471,1.00782,0.71506,1.46579,0.000511769,0.000511769,0.000511769
72,83.7431,0.84182,0.96394,1.37716,0.91744,0.83586,0.94776,0.71362,1.01176,0.74132,1.48781,0.000495266,0.000495266,0.000495266
73,84.8549,0.80377,0.86353,1.32368,0.91941,0.83586,0.92923,0.71103,1.00684,0.73151,1.4562,0.000478762,0.000478762,0.000478762
74,85.9938,0.83238,1.00612,1.34759,0.88941,0.92677,0.94184,0.70142,1.00754,0.70707,1.50579,0.000462259,0.000462259,0.000462259
75,87.1034,0.78015,1.0092,1.37871,0.92883,0.91947,0.95371,0.70655,1.02707,0.71033,1.52073,0.000445756,0.000445756,0.000445756
76,88.2317,0.82768,1.00089,1.38993,0.93266,0.92322,0.95542,0.7094,0.9914,0.68884,1.48582,0.000429253,0.000429253,0.000429253
77,89.4513,0.84195,0.9535,1.36841,0.99176,0.84928,0.95319,0.7047,0.98122,0.68001,1.48173,0.000412749,0.000412749,0.000412749
78,90.5748,0.85026,0.93063,1.39904,0.98541,0.89279,0.96,0.72088,0.96724,0.62734,1.44549,0.000396246,0.000396246,0.000396246
79,91.6952,0.77539,0.85403,1.30024,0.98242,0.89429,0.9616,0.72219,0.949,0.59534,1.43293,0.000379743,0.000379743,0.000379743
80,92.8049,0.79381,0.88438,1.25137,0.97196,0.91821,0.9617,0.737,0.97583,0.60975,1.44656,0.000363239,0.000363239,0.000363239
81,93.9378,0.83035,0.90561,1.34605,0.92785,0.9216,0.964,0.72284,0.9849,0.62062,1.47342,0.000346736,0.000346736,0.000346736
82,95.0773,0.67828,0.8127,1.23512,0.94771,0.88636,0.9609,0.70118,1.00146,0.63739,1.47937,0.000330233,0.000330233,0.000330233
83,96.2077,0.8163,0.93814,1.33137,0.90186,0.89862,0.96348,0.71951,0.99315,0.66342,1.44932,0.000313729,0.000313729,0.000313729
84,97.4568,0.85525,0.90503,1.36795,0.88944,0.91912,0.95971,0.74257,0.93132,0.64268,1.37535,0.000297226,0.000297226,0.000297226
85,98.6128,0.79959,0.84671,1.29923,0.94782,0.87175,0.96054,0.74145,0.91295,0.62847,1.35617,0.000280723,0.000280723,0.000280723
86,99.7309,0.74008,0.81479,1.28558,0.94193,0.90089,0.96021,0.73667,0.93591,0.63165,1.39124,0.00026422,0.00026422,0.00026422
87,100.878,0.72529,0.82022,1.26408,0.93042,0.90662,0.9606,0.7395,0.9421,0.6156,1.39103,0.000247716,0.000247716,0.000247716
88,101.999,0.88254,0.94161,1.3733,0.94243,0.89703,0.9626,0.74388,0.95028,0.61423,1.38017,0.000231213,0.000231213,0.000231213
89,103.142,0.79292,0.86487,1.3706,0.92646,0.9166,0.96267,0.72366,0.95565,0.61115,1.38406,0.00021471,0.00021471,0.00021471
90,104.265,0.80882,0.82452,1.33044,0.92881,0.9236,0.97089,0.72946,0.96653,0.60865,1.36517,0.000198206,0.000198206,0.000198206
91,106.372,0.78102,1.15166,1.1959,0.93225,0.92385,0.9712,0.74447,0.96544,0.60384,1.352,0.000181703,0.000181703,0.000181703
92,107.623,0.8391,1.17706,1.2646,0.93245,0.92381,0.97377,0.76429,0.9592,0.61079,1.34113,0.0001652,0.0001652,0.0001652
93,108.731,0.71959,1.09382,1.20951,0.97211,0.89543,0.97278,0.75812,0.94836,0.61334,1.33653,0.000148696,0.000148696,0.000148696
94,109.827,0.7576,1.07834,1.17509,0.94308,0.91033,0.97349,0.74624,0.93161,0.63614,1.33552,0.000132193,0.000132193,0.000132193
95,110.933,0.73765,1.10163,1.14878,0.94343,0.91003,0.97265,0.74192,0.91072,0.63721,1.32538,0.00011569,0.00011569,0.00011569
96,112.048,0.70147,1.12908,1.22423,0.91552,0.88131,0.96694,0.72582,0.90034,0.64091,1.33634,9.91865e-05,9.91865e-05,9.91865e-05
97,113.141,0.70673,1.05428,1.14903,0.943,0.91191,0.97296,0.72668,0.88927,0.63739,1.3313,8.26832e-05,8.26832e-05,8.26832e-05
98,114.246,0.73095,1.05639,1.17882,0.94368,0.90862,0.97262,0.73748,0.89252,0.61938,1.34072,6.61799e-05,6.61799e-05,6.61799e-05
99,115.344,0.83324,1.12579,1.18197,0.94343,0.90979,0.9737,0.73272,0.89303,0.61434,1.34344,4.96766e-05,4.96766e-05,4.96766e-05
100,116.54,0.77504,1.08,1.10494,0.93224,0.91889,0.9737,0.73175,0.89419,0.60861,1.34476,3.31733e-05,3.31733e-05,3.31733e-05
