epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,195.413,1.20276,1.71271,1.55106,0.85707,0.86365,0.95858,0.54829,1.67701,0.87148,1.90378,0.000594286,0.000594286,0.000594286
67,198.302,1.23097,1.5984,1.56903,0.80355,0.96395,0.96526,0.58116,1.65366,0.83165,1.81688,0.000577782,0.000577782,0.000577782
68,200.815,1.19135,1.56865,1.61039,0.90647,0.83679,0.94338,0.56611,1.66489,0.86271,1.76709,0.000561279,0.000561279,0.000561279
69,203.673,1.25054,1.64686,1.53208,0.96999,0.8228,0.92478,0.56977,1.56277,0.81613,1.73477,0.000544776,0.000544776,0.000544776
70,206.199,1.244,1.43389,1.46967,0.90664,0.80167,0.93119,0.58496,1.62532,0.83283,1.7746,0.000528272,0.000528272,0.000528272
71,209.064,1.23243,1.48419,1.47421,0.87493,0.81201,0.90904,0.56409,1.72685,0.8635,1.88191,0.000511769,0.000511769,0.000511769
72,211.675,1.27837,1.57921,1.60413,0.84632,0.79706,0.92093,0.53448,1.73655,0.90308,1.85332,0.000495266,0.000495266,0.000495266
73,214.92,1.14927,1.44069,1.48285,0.84541,0.79878,0.91677,0.54414,1.67917,0.9119,1.75982,0.000478762,0.000478762,0.000478762
74,217.727,1.18024,1.57551,1.53802,0.88208,0.82393,0.93881,0.55901,1.6339,0.8631,1.69377,0.000462259,0.000462259,0.000462259
75,220.928,1.21088,1.53191,1.56518,0.8811,0.9605,0.95463,0.5769,1.61815,0.81872,1.67194,0.000445756,0.000445756,0.000445756
76,223.723,1.25988,1.56016,1.4736,1,0.83027,0.94442,0.58151,1.58628,0.81207,1.68487,0.000429253,0.000429253,0.000429253
77,226.916,1.21773,1.50653,1.49585,0.94797,0.87121,0.94774,0.59072,1.56885,0.83371,1.66811,0.000412749,0.000412749,0.000412749
78,229.472,1.27839,1.45625,1.48565,0.83626,0.88585,0.93469,0.59949,1.53935,0.79061,1.71702,0.000396246,0.000396246,0.000396246
79,232.341,1.13566,1.32986,1.43543,0.91503,0.85354,0.94385,0.60198,1.60332,0.7564,1.73854,0.000379743,0.000379743,0.000379743
80,234.859,1.09842,1.38726,1.3949,0.94374,0.92363,0.95399,0.5954,1.5941,0.73523,1.70778,0.000363239,0.000363239,0.000363239
81,237.714,1.23882,1.46732,1.43884,0.93556,0.87251,0.94945,0.58996,1.58806,0.7314,1.68953,0.000346736,0.000346736,0.000346736
82,240.231,1.1068,1.30943,1.42901,0.8382,0.94592,0.94774,0.55392,1.62212,0.73567,1.739,0.000330233,0.000330233,0.000330233
83,243.08,1.02781,1.37596,1.44777,0.84722,0.95381,0.96008,0.56759,1.62707,0.7719,1.75057,0.000313729,0.000313729,0.000313729
84,245.586,1.2326,1.45322,1.48702,0.85,0.95872,0.96052,0.56854,1.63795,0.77259,1.75291,0.000297226,0.000297226,0.000297226
85,248.447,1.11987,1.31285,1.44596,0.85975,0.95615,0.96246,0.57426,1.68192,0.77499,1.74916,0.000280723,0.000280723,0.000280723
86,250.954,1.05065,1.3437,1.44696,0.98329,0.91675,0.98582,0.57025,1.58397,0.74224,1.66287,0.00026422,0.00026422,0.00026422
87,253.814,1.06038,1.28237,1.39847,0.97953,0.91737,0.98582,0.56767,1.52446,0.73337,1.66689,0.000247716,0.000247716,0.000247716
88,256.308,1.31179,1.47943,1.43847,0.97187,0.87459,0.97901,0.57151,1.52438,0.7356,1.66333,0.000231213,0.000231213,0.000231213
89,259.151,1.1401,1.38313,1.45085,0.97198,0.86824,0.96863,0.58295,1.58561,0.75473,1.65136,0.00021471,0.00021471,0.00021471
90,261.788,1.16856,1.34794,1.44117,0.94569,0.86838,0.9654,0.57199,1.74512,0.75378,1.78983,0.000198206,0.000198206,0.000198206
91,266.804,1.47643,2.18385,1.18044,0.935,0.88523,0.96546,0.56538,1.78284,0.76779,1.84129,0.000181703,0.000181703,0.000181703
92,269.292,1.68475,2.30186,1.13305,0.93021,0.90253,0.97315,0.56918,1.79574,0.75429,1.81959,0.0001652,0.0001652,0.0001652
93,272.197,1.41698,2.1336,1.14149,0.91494,0.92677,0.97225,0.58782,1.71522,0.74462,1.76971,0.000148696,0.000148696,0.000148696
94,274.935,1.55768,2.21858,1.17024,0.94377,0.8162,0.94853,0.5873,1.55777,0.76223,1.66129,0.000132193,0.000132193,0.000132193
95,279.206,1.40048,2.21329,1.1858,0.91572,0.8732,0.95185,0.59094,1.5212,0.77026,1.63636,0.00011569,0.00011569,0.00011569
96,283.181,1.50509,2.29249,1.11183,0.97141,0.85195,0.96021,0.59837,1.51619,0.76836,1.65009,9.91865e-05,9.91865e-05,9.91865e-05
97,285.992,1.48371,2.18349,1.12335,0.96547,0.86861,0.96021,0.59803,1.51842,0.75688,1.65341,8.26832e-05,8.26832e-05,8.26832e-05
98,288.701,1.5016,2.23155,1.10474,0.93866,0.85228,0.94018,0.58124,1.5398,0.74449,1.69334,6.61799e-05,6.61799e-05,6.61799e-05
99,291.794,1.63327,2.2582,1.12221,0.93102,0.85262,0.94112,0.5826,1.55869,0.73477,1.68798,4.96766e-05,4.96766e-05,4.96766e-05
100,294.51,1.56859,2.19902,1.16334,0.96068,0.88494,0.96161,0.58189,1.57091,0.73054,1.69095,3.31733e-05,3.31733e-05,3.31733e-05
